Gene,Start,End,Length (nt),Strand,Locus Tag,CDS,Pseudo,PEC,Gerdes,LB medium,,,,,M9 glucose (0.2%) medium,,,,
fliR,2022893,2023678,786,+,b1950,Y,N,NE,NE,472,250.35 ,462,266.77 ,NE,3649,341.43,3633,370.07,NE
rcsA,2023968,2024591,624,+,b1951,Y,N,NE,NE,7,4.68 ,3,2.17 ,E,20,2.36,4,0.51,E
dsrB,2024635,2024823,189,-,b1952,Y,N,NE,NE,480,1058.79 ,478,1151.89 ,NE,1076,418.70,1074,456.57,NE
yodD,2024986,2025213,228,+,b1953,Y,N,NE,NE,69,126.17 ,54,108.23 ,NE,704,227.09,703,248.57,NE
dsrA,2025227,2025313,87,-,b1954,N,N,NE,NE,2,9.58 ,2,10.55 ,NE,2,1.69,2,1.86,E
yedP,2025511,2026326,816,+,b1955,Y,N,NE,NE,194,99.12 ,172,95.35 ,NE,579,52.18,576,56.33,NE
yedQ,2026323,2028017,1695,-,b1956,Y,N,NE,NE,514,126.42 ,487,130.23 ,NE,3728,161.76,3677,173.46,NE
yodC,2028188,2028370,183,-,b1957,Y,N,NE,NE,15,34.17 ,9,22.47 ,NE,91,36.57,87,38.31,NE
yedI,2028449,2029366,918,-,b1958,Y,N,NE,NE,905,411.00 ,894,440.55 ,NE,4210,337.28,3846,334.34,NE
yedA,2029539,2030459,921,+,b1959,Y,N,NE,NE,217,98.23 ,214,105.08 ,NE,2661,212.49,2635,228.26,NE
vsr,2030448,2030918,471,-,b1960,Y,N,NE,NE,728,644.38 ,725,694.83 ,NE,2184,341.02,2172,367.22,NE
dcm,2030899,2032317,1419,-,b1961,Y,N,NE,E,232,68.16 ,224,71.45 ,NE,1455,75.41,1449,81.54,NE
yedJ,2032384,2033079,696,-,b1962,Y,N,NE,NE,138,82.66 ,130,84.68 ,NE,1219,128.81,959,110.20,NE
yedR,2033119,2033484,366,-,b1963,Y,N,NE,NE,64,72.90 ,62,76.47 ,NE,317,63.70,316,68.76,NE
rseX,2033649,2033739,91,+,b4603,N,N,NE,NE,0,0.00 ,0,0.00 ,E,0,0.00,0,0.00,E
yedS,2034051,2035243,1193,+,b4496,Y,Y,NE,NE,177,61.85 ,175,66.51 ,NE,904,55.73,901,60.40,NE
hchA,2035835,2036686,852,+,b1967,Y,N,NE,NE,197,96.40 ,196,104.22 ,NE,1493,128.88,1103,103.47,NE
yedV,2036794,2038152,1359,-,b1968,Y,N,NE,NE,82,25.16 ,17,5.67 ,NE,1671,90.43,169,9.94,NE
yedW,2038152,2038823,672,-,b1969,Y,N,NE,NE,98,60.80 ,98,65.90 ,NE,1664,182.11,1660,196.91,NE
hiuH,2038956,2039369,414,+,b1970,Y,N,NE,NE,1,1.01 ,1,1.09 ,E,13,2.31,13,2.50,NE
yedY,2039478,2040482,1005,+,b1971,Y,N,NE,NE,456,189.16 ,413,186.14 ,NE,2961,216.68,2711,215.55,NE
yedZ,2040483,2041118,636,+,b1972,Y,N,NE,NE,102,66.86 ,89,63.53 ,NE,1727,199.70,1723,216.98,NE
zinT,2041375,2042025,651,+,b1973,Y,N,NE,NE,0,0.00 ,0,0.00 ,E,735,83.03,666,81.77,NE
yodB,2042368,2042898,531,+,b1974,Y,N,NE,NE,62,48.68 ,61,52.22 ,NE,2492,345.15,2482,374.82,NE
serU,2043468,2043557,90,-,b1975,N,N,NE,NE,0,0.00 ,0,0.00 ,E,2,1.63,2,1.79,E
mtfA,2043651,2044448,798,+,b1976,Y,N,NE,E,61,31.87 ,61,34.65 ,NE,2146,197.78,2144,214.82,NE
asnT,2044549,2044624,76,+,b1977,N,N,NE,NE,0,0.00 ,0,0.00 ,E,1,0.97,1,1.08,E
yeeJ,2044938,2052014,7077,+,b1978,Y,N,NE,NE,843,49.66 ,839,53.74 ,NE,6704,69.67,6669,75.35,NE
yeeL,2052276,2053328,1053,-,b4497,Y,Y,NE,NE,2,0.79 ,2,0.86 ,E,148,10.34,148,11.23,NE
shiA,2053643,2054959,1317,+,b1981,Y,N,NE,NE,124,39.25 ,123,42.27 ,NE,2161,120.68,2148,130.23,NE
amn,2055061,2056515,1455,+,b1982,Y,N,NE,NE,81,23.21 ,81,25.22 ,NE,560,28.31,556,30.54,NE
yeeN,2056858,2057574,717,+,b1983,Y,N,NE,NE,2,1.16 ,2,1.26 ,E,14,1.44,14,1.56,E
asnW,2058027,2058102,76,-,b1984,N,N,NE,NE,0,0.00 ,0,0.00 ,E,0,0.00,0,0.00,E
yeeO,2058203,2059690,1488,-,b1985,Y,N,NE,NE,210,58.84 ,189,57.60 ,NE,3978,196.61,3893,209.29,NE
asnU,2059851,2059926,76,+,b1986,N,N,NE,NE,0,0.00 ,0,0.00 ,E,2,1.94,2,2.16,E
cbl,2059964,2060914,951,-,b1987,Y,N,NE,NE,118,51.73 ,116,55.27 ,NE,515,39.83,512,43.03,NE
nac,2061016,2061933,918,-,b1988,Y,N,NE,NE,82,37.24 ,79,38.93 ,NE,633,50.71,633,55.03,NE
asnV,2062260,2062335,76,+,b1989,N,N,NE,NE,0,0.00 ,0,0.00 ,E,1,0.97,0,0.00,E
ldtA,2062391,2063323,933,-,b1990,Y,N,NE,NE,160,71.49 ,158,76.86 ,NE,2103,165.77,2101,180.30,NE
cobT,2063388,2064467,1080,-,b1991,Y,N,NE,NE,84,32.43 ,72,30.26 ,NE,816,55.57,765,56.72,NE
cobS,2064479,2065222,744,-,b1992,Y,N,NE,NE,209,117.11 ,202,123.12 ,NE,2546,251.67,2424,260.63,NE
cobU,2065219,2065764,546,-,b1993,Y,N,NE,NE,53,40.47 ,53,44.02 ,NE,394,53.07,394,57.72,NE
yeeH,2066068,2066154,87,-,b4639,Y,Y,NE,NE,1,4.79 ,1,5.28 ,NE,2,1.69,2,1.86,E
insH1,2066305,2067321,1017,-,b1994,Y,N,NE,NE,610,250.06 ,603,268.29 ,NE,4864,351.74,4809,377.46,NE
yoeG,2067360,2067892,533,-,b4640,Y,Y,NE,NE,6,4.69 ,6,5.12 ,NE,80,11.04,75,11.28,NE
yoeH,2068261,2068419,159,-,b4641,Y,Y,NE,NE,0,0.00 ,0,0.00 ,E,8,3.70,8,4.00,NE
yoeA,2068635,2070474,1840,+,b4582,Y,Y,NE,NE,257,58.23 ,253,62.34 ,NE,1837,73.43,1826,79.37,NE
insD1,2068952,2069857,906,-,b1996,Y,N,NE,NE,212,97.55 ,211,105.47 ,NE,1287,104.47,1221,107.67,NE
insC1,2069815,2070180,366,-,b1997,Y,N,NE,NE,29,33.03 ,29,35.77 ,NE,354,71.13,354,77.03,NE
yeeP,2070660,2071211,552,+,b1999,Y,Y,NE,NE,106,80.06 ,99,81.25 ,NE,1161,154.68,794,114.95,NE
isrC,2071317,2071511,195,+,b4435,N,N,NE,NE,3,6.41 ,3,6.99 ,NE,20,7.54,20,8.22,NE
flu,2071539,2074658,3120,+,b2000,Y,N,NE,NE,2284,305.19 ,2196,318.77 ,NE,7918,186.64,7581,194.13,NE
yeeR,2074779,2076311,1533,+,b2001,Y,N,NE,NE,457,124.28 ,427,126.34 ,NE,2647,126.99,2533,132.21,NE
yeeS,2076308,2076754,447,+,b2002,Y,N,NE,NE,26,24.25 ,21,21.30 ,NE,164,26.98,137,24.52,NE
yeeT,2076817,2077038,222,+,b2003,Y,N,NE,NE,167,313.61 ,92,186.19 ,NE,593,196.45,489,174.58,NE
cbeA,2077112,2077480,369,+,b2004,Y,N,NE,NE,55,62.14 ,53,64.80 ,NE,185,36.87,177,38.17,NE
cbtA,2077569,2077943,375,+,b2005,Y,N,NE,E,56,62.26 ,52,63.20 ,NE,205,40.20,192,41.17,NE
yeeW,2077940,2078107,168,+,b2006,Y,Y,NE,NE,35,86.85 ,35,93.54 ,NE,805,352.40,800,377.15,NE
yoeD,2078549,2078677,129,-,b4642,Y,Y,NE,NE,1,3.23 ,1,3.56 ,NE,5,2.85,5,3.14,NE
yoeF,2078746,2078931,186,+,b4538,Y,Y,NE,NE,14,31.38 ,13,31.88 ,NE,110,43.49,110,47.59,NE
yeeX,2079032,2079361,330,-,b2007,Y,N,NE,NE,17,21.48 ,17,23.47 ,NE,212,47.25,210,51.14,NE
yeeA,2079533,2080591,1059,-,b2008,Y,N,NE,NE,680,267.70 ,672,287.34 ,NE,11593,805.11,11555,871.60,NE
sbmC,2080789,2081262,474,-,b2009,Y,N,NE,E,56,49.25 ,52,49.49 ,NE,37,5.74,35,5.88,NE
dacD,2081381,2082547,1167,-,b2010,Y,N,NE,NE,109,38.94 ,103,39.94 ,NE,795,50.10,701,47.96,NE
sbcB,2082756,2084183,1428,+,b2011,Y,N,NE,NE,458,133.71 ,426,135.37 ,NE,7163,368.91,7075,396.59,NE
yeeD,2084226,2084453,228,-,b2012,Y,N,NE,NE,66,120.68 ,54,108.23 ,NE,152,49.03,23,8.13,NE
yeeE,2084467,2085525,1059,-,b2013,Y,N,NE,NE,52,20.47 ,49,20.95 ,NE,1168,81.11,1131,85.31,NE
plaP,2085704,2087062,1359,-,b2014,Y,N,NE,NE,523,160.44 ,519,172.96 ,NE,6046,327.19,5993,352.32,NE
yoeI,2087052,2087114,63,-,b4678,Y,N,NE,NE,1,6.62 ,1,7.07 ,NE,23,26.85,23,28.67,NE
yeeY,2087329,2088258,930,-,b2015,Y,N,NE,NE,130,58.28 ,73,35.64 ,NE,2723,215.34,1363,117.38,NE
yeeZ,2088304,2089128,825,-,b2016,Y,N,NE,NE,763,385.57 ,755,413.61 ,NE,8621,768.52,8614,832.48,NE
yoeB,2089211,2089465,255,-,b4539,Y,N,NE,NE,13,21.25 ,8,14.19 ,NE,69,19.90,65,20.34,NE
yefM,2089462,2089713,252,-,b2017,Y,N,NE,NE,0,0.00 ,0,0.00 ,E,0,0.00,0,0.00,E
hisL,2089996,2090046,51,+,b2018,Y,N,NE,NE,2,16.35 ,2,17.74 ,NE,46,66.33,46,71.98,NE
hisG,2090192,2091091,900,+,b2019,Y,N,NE,NE,209,96.81 ,205,103.22 ,NE,14,1.14,14,1.24,E
hisD,2091097,2092401,1305,+,b2020,Y,N,NE,NE,1500,479.19 ,1441,500.21 ,NE,227,12.79,16,0.98,E
hisC,2092398,2093468,1071,+,b2021,Y,N,NE,NE,808,314.52 ,798,337.07 ,NE,58,3.98,32,2.38,NE
hisB,2093468,2094535,1068,+,b2022,Y,N,NE,NE,610,238.12 ,557,235.99 ,NE,18,1.24,18,1.35,E
hisH,2094535,2095125,591,+,b2023,Y,N,NE,NE,283,199.63 ,280,214.98 ,NE,22,2.74,22,2.98,NE
hisA,2095125,2095862,738,+,b2024,Y,N,NE,NE,210,118.63 ,202,124.21 ,NE,27,2.69,24,2.60,NE
hisF,2095844,2096620,777,+,b2025,Y,N,NE,NE,338,181.35 ,174,101.74 ,NE,22,2.08,19,1.96,E
hisI,2096614,2097225,612,+,b2026,Y,N,NE,NE,230,156.68 ,182,134.53 ,NE,26,3.12,22,2.87,NE
wzzB,2097321,2098301,981,-,b2027,Y,N,NE,NE,131,55.67 ,93,43.03 ,NE,3718,278.74,1015,82.85,NE
ugd,2098447,2099613,1167,-,b2028,Y,N,NE,NE,208,74.31 ,207,80.28 ,NE,251,15.82,248,16.97,NE
gnd,2099862,2101268,1407,-,b2029,Y,N,NE,NE,508,150.52 ,506,162.90 ,NE,785,41.03,783,44.47,NE
wbbL,2101396,2103389,1994,-,b4571,Y,Y,NE,NE,717,149.91 ,717,162.99 ,NE,5892,217.32,5851,234.63,NE
insH1,2101895,2102911,1017,-,b2030,Y,N,NE,NE,706,289.41 ,700,311.45 ,NE,5591,404.32,5516,432.95,NE
wbbK,2103391,2104509,1119,-,b2032,Y,N,NE,NE,0,0.00 ,0,0.00 ,E,3,0.20,3,0.21,E
wbbJ,2104494,2105084,591,-,b2033,Y,N,NE,NE,19,13.40 ,15,11.52 ,NE,280,34.84,265,35.89,NE
wbbI,2105065,2106057,993,-,b2034,Y,N,NE,NE,25,10.50 ,22,10.05 ,NE,329,24.37,311,25.05,NE
wbbH,2106060,2107226,1167,-,b2035,Y,N,NE,NE,4,1.43 ,3,1.16 ,E,31,1.95,25,1.71,E
glf,2107226,2108329,1104,-,b2036,Y,N,NE,NE,2,0.76 ,2,0.82 ,E,26,1.73,22,1.59,E
wzxB,2108337,2109584,1248,-,b2037,Y,N,NE,NE,0,0.00 ,0,0.00 ,E,9,0.53,8,0.51,E
rfbC,2109581,2110138,558,-,b2038,Y,N,NE,NE,3,2.24 ,3,2.43 ,NE,20,2.64,20,2.86,NE
rfbA,2110138,2111019,882,-,b2039,Y,N,NE,NE,413,195.21 ,412,212.05 ,NE,11987,999.53,11961,1086.02,NE
rfbD,2111077,2111976,900,-,b2040,Y,N,NE,NE,139,64.39 ,139,69.99 ,NE,3652,298.43,3651,324.29,NE
rfbB,2111976,2113061,1086,-,b2041,Y,N,NE,NE,216,82.92 ,215,89.81 ,NE,356,24.11,346,25.50,NE
wcaN,2113434,2114327,894,-,b2042,Y,N,NE,E,4473,2085.89 ,4467,2265.56 ,NE,13307,1094.70,13269,1187.19,NE
wcaM,2114502,2115896,1395,-,b2043,Y,N,NE,NE,105,31.38 ,104,33.79 ,NE,349,18.40,340,19.49,NE
wcaL,2115907,2117127,1221,-,b2044,Y,N,NE,NE,219,74.78 ,139,51.51 ,NE,716,43.13,673,44.00,NE
wcaK,2117124,2118404,1281,-,b2045,Y,N,NE,NE,409,133.11 ,405,143.45 ,NE,1283,73.66,1273,79.54,NE
wzxC,2118680,2120158,1479,-,b2046,Y,N,NE,NE,1390,391.81 ,1354,415.37 ,NE,6757,336.00,6084,329.25,NE
wcaJ,2120160,2121554,1395,-,b2047,Y,N,NE,NE,1962,586.35 ,1894,615.44 ,NE,7087,373.63,6752,387.04,NE
cpsG,2121609,2122979,1371,-,b2048,Y,N,NE,NE,653,198.57 ,515,169.99 ,NE,5168,277.23,5033,293.07,NE
cpsB,2123084,2124520,1437,-,b2049,Y,N,NE,NE,3803,1103.32 ,3757,1185.68 ,NE,5464,279.65,5310,295.63,NE
wcaI,2124523,2125746,1224,-,b2050,Y,N,NE,NE,695,236.72 ,632,233.58 ,NE,3418,205.37,3390,221.03,NE
wcaH,2125743,2126222,480,-,b2051,Y,N,NE,NE,262,227.56 ,252,238.77 ,NE,1716,262.92,1700,284.15,NE
wcaG,2126225,2127190,966,-,b2052,Y,N,NE,NE,149,64.30 ,136,63.71 ,NE,1589,120.98,1565,129.32,NE
gmd,2127193,2128314,1122,-,b2053,Y,N,NE,NE,168,62.42 ,157,63.30 ,NE,739,48.44,691,49.15,NE
wcaF,2128340,2128888,549,-,b2054,Y,N,NE,NE,121,91.88 ,116,95.76 ,NE,579,77.56,479,69.76,NE
wcaE,2128904,2129650,747,-,b2055,Y,N,NE,NE,67,37.39 ,66,40.05 ,NE,164,16.15,163,17.45,NE
wcaD,2129661,2130878,1218,-,b2056,Y,N,NE,NE,1664,569.56 ,1663,617.92 ,NE,21923,1323.75,21912,1436.29,NE
wcaC,2130853,2132070,1218,-,b2057,Y,N,NE,NE,503,172.17 ,500,185.78 ,NE,1923,116.11,1739,113.99,NE
wcaB,2132067,2132555,489,-,b2058,Y,N,NE,NE,109,92.93 ,109,101.21 ,NE,642,96.56,642,105.16,NE
wcaA,2132558,2133397,840,-,b2059,Y,N,NE,NE,45,22.33 ,35,18.90 ,NE,272,23.81,219,20.86,NE
wzc,2133490,2135652,2163,-,b2060,Y,N,NE,NE,847,163.25 ,805,168.56 ,NE,3626,123.29,3418,126.26,NE
wzb,2135655,2136098,444,-,b2061,Y,N,NE,E,388,364.32 ,382,390.33 ,NE,783,129.70,775,139.70,NE
wza,2136104,2137243,1140,-,b2062,Y,N,NE,NE,528,193.09 ,527,209.64 ,NE,1908,123.09,1889,132.56,NE
yegH,2137902,2139485,1584,+,b2063,Y,N,NE,NE,643,169.23 ,610,174.66 ,NE,10538,489.28,10066,508.45,NE
asmA,2139759,2141612,1854,-,b2064,Y,N,NE,NE,414,93.09 ,377,92.13 ,NE,1058,41.97,1020,43.97,NE
dcd,2141634,2142215,582,-,b2065,Y,N,NE,NE,437,313.03 ,391,305.26 ,NE,922,116.51,563,77.54,NE
udk,2142307,2142948,642,-,b2066,Y,N,NE,NE,52,33.77 ,28,19.79 ,NE,1474,168.86,1452,181.00,NE
yegE,2143266,2146583,3318,+,b2067,Y,N,NE,NE,1788,224.66 ,1626,221.96 ,NE,5152,114.20,4950,119.20,NE
alkA,2146692,2147540,849,-,b2068,Y,N,NE,NE,615,301.99 ,549,293.06 ,NE,3056,264.73,3016,284.01,NE
yegD,2147674,2149026,1353,+,b2069,Y,N,NE,NE,989,304.74 ,863,288.98 ,NE,7946,431.92,7411,437.78,NE
yegI,2149039,2150985,1947,-,b2070,Y,N,NE,NE,556,119.05 ,367,85.43 ,NE,5951,224.79,5292,217.31,NE
yegJ,2151185,2151646,462,+,b2071,Y,N,NE,NE,2,1.80 ,2,1.96 ,E,18,2.87,18,3.11,NE
yegK,2151711,2152472,762,-,b2072,Y,N,NE,NE,192,105.05 ,187,111.05 ,NE,1293,124.79,1289,135.04,NE
yegL,2152469,2153128,660,-,b2073,Y,N,NE,E,130,82.12 ,126,86.40 ,NE,619,68.98,617,74.63,NE
sibA,2153309,2153451,143,+,b4436,N,N,NE,NE,3,8.75 ,3,9.55 ,NE,6,3.09,6,3.37,NE
ibsA,2153349,2153408,60,-,b4667,Y,N,NE,NE,1,6.95 ,1,7.44 ,NE,5,6.13,5,6.57,NE
sibB,2153644,2153779,136,+,b4437,N,N,NE,NE,9,27.59 ,8,26.90 ,NE,65,35.15,61,36.18,NE
ibsB,2153681,2153737,57,-,b4668,Y,N,NE,NE,7,51.20 ,7,55.06 ,NE,52,67.09,52,72.16,NE
mdtA,2154016,2155263,1248,+,b2074,Y,N,NE,NE,255,85.18 ,247,89.70 ,NE,1151,67.83,1147,73.48,NE
mdtB,2155263,2158385,3123,+,b2075,Y,N,NE,NE,1594,212.79 ,1571,227.81 ,NE,9593,225.91,9280,237.39,NE
mdtC,2158386,2161463,3078,+,b2076,Y,N,NE,NE,1716,232.42 ,1452,213.90 ,NE,3861,92.25,3068,79.73,NE
iceT,2161464,2162879,1416,+,b2077,Y,N,NE,NE,1178,346.83 ,1177,376.30 ,NE,4356,226.24,4262,240.37,NE
baeS,2162876,2164279,1404,+,b2078,Y,N,NE,NE,1030,305.84 ,920,296.86 ,NE,4631,242.58,4544,258.66,NE
baeR,2164276,2164998,723,+,b2079,Y,N,NE,NE,205,118.21 ,169,105.63 ,NE,702,71.41,548,60.42,NE
yegP,2165189,2165521,333,+,b2080,Y,N,NE,E,120,150.23 ,111,151.72 ,NE,296,65.37,153,36.89,NE
yegQ,2165668,2167029,1362,+,b2081,Y,N,NE,NE,465,142.33 ,360,119.68 ,NE,3241,175.01,3017,176.94,NE
cyaR,2167114,2167200,87,+,b4438,N,N,NE,NE,0,0.00 ,0,0.00 ,E,0,0.00,0,0.00,E
ogrK,2167302,2167520,219,-,b2082,Y,N,NE,NE,3,5.71 ,2,4.11 ,NE,111,37.28,109,39.49,NE
yegZ,2167602,2167814,213,-,b2083,Y,Y,NE,NE,38,74.38 ,25,52.91 ,NE,88,30.38,68,25.39,NE
yegR,2167989,2168306,318,-,b2085,Y,N,NE,NE,0,0.00 ,0,0.00 ,E,0,0.00,0,0.00,E
yegS,2168712,2169611,900,+,b2086,Y,N,NE,NE,208,96.35 ,208,104.73 ,NE,643,52.54,643,57.11,NE
gatR,2169693,2171727,2035,-,b4498,Y,Y,NE,NE,1180,241.74 ,1118,249.11 ,NE,2895,104.63,2857,112.30,NE
insE1,2170236,2170535,300,+,b2088,Y,N,NE,E,28,38.91 ,28,42.29 ,NE,422,103.45,417,111.12,NE
insF1,2170532,2171398,867,+,b2089,Y,N,NE,NE,767,368.81 ,750,391.33 ,NE,873,74.05,812,74.74,NE
gatD,2171833,2172873,1041,-,b2091,Y,N,NE,E,305,122.15 ,287,125.03 ,NE,2380,168.14,2170,166.76,NE
gatC,2172921,2174278,1358,-,b2092,Y,Y,NE,NE,2230,684.60 ,2086,695.72 ,NE,19005,1029.25,17009,1000.74,NE
gatB,2174282,2174566,285,-,b2093,Y,N,NE,NE,24,35.11 ,19,30.35 ,NE,195,50.32,137,38.60,NE
gatA,2174597,2175049,453,-,b2094,Y,N,NE,NE,9,8.28 ,4,4.00 ,NE,34,5.52,31,5.47,NE
gatZ,2175059,2176321,1263,-,b2095,Y,N,NE,NE,397,131.04 ,378,135.50 ,NE,2022,117.74,2008,126.98,NE
gatY,2176350,2177204,855,-,b2096,Y,N,NE,NE,449,218.93 ,423,224.08 ,NE,1948,167.56,1739,162.51,NE
fbaB,2177512,2178564,1053,-,b2097,Y,N,NE,NE,1121,443.82 ,1110,477.56 ,NE,9448,659.88,9446,716.93,NE
yegT,2178821,2180098,1278,+,b2098,Y,N,NE,NE,55,17.94 ,54,19.18 ,NE,547,31.48,547,34.27,NE
yegU,2180095,2181099,1005,+,b2099,Y,N,NE,NE,543,225.25 ,540,243.38 ,NE,1636,119.72,1631,129.68,NE
yegV,2181096,2182061,966,+,b2100,Y,N,NE,NE,581,250.74 ,505,236.56 ,NE,3649,277.81,3190,263.61,NE
yegW,2182035,2182781,747,-,b2101,Y,N,NE,NE,619,345.46 ,478,290.07 ,NE,1828,179.97,1331,142.49,NE
yegX,2182833,2183651,819,-,b2102,Y,N,NE,NE,154,78.39 ,149,82.28 ,NE,2734,245.51,2710,263.98,NE
thiD,2183716,2184516,801,-,b2103,Y,N,NE,NE,349,181.65 ,341,192.89 ,NE,22,2.02,19,1.90,E
thiM,2184513,2185301,789,-,b2104,Y,N,NE,NE,145,76.62 ,126,72.45 ,NE,317,29.55,309,31.35,NE
rcnR,2185524,2185796,273,-,b2105,Y,N,NE,E,63,96.21 ,63,103.81 ,NE,89,23.98,88,25.58,NE
rcnA,2185917,2186741,825,+,b2106,Y,N,NE,NE,321,162.21 ,268,146.82 ,NE,910,81.12,803,77.60,NE
rcnB,2186960,2187298,339,+,b2107,Y,N,NE,NE,795,977.68 ,795,1065.71 ,NE,3712,805.31,3712,877.81,NE
yehA,2187380,2188414,1035,-,b2108,Y,N,NE,NE,7,2.82 ,4,1.75 ,E,16,1.14,15,1.16,E
yehB,2188430,2190910,2481,-,b2109,Y,N,NE,NE,1061,178.29 ,1061,193.92 ,NE,4333,128.44,4331,139.64,NE
yehC,2190926,2191645,720,-,b2110,Y,N,NE,E,0,0.00 ,0,0.00 ,E,0,0.00,0,0.00,E
yehD,2191680,2192222,543,-,b2111,Y,N,NE,E,1,0.77 ,0,0.00 ,E,5,0.68,4,0.59,E
yehE,2192515,2192796,282,-,b2112,Y,N,NE,NE,1,1.48 ,1,1.62 ,E,337,87.89,337,96.06,NE
mrp,2193059,2194168,1110,-,b2113,Y,N,NE,NE,912,342.53 ,911,371.62 ,NE,2682,177.70,2681,192.93,NE
metG,2194300,2196333,2034,+,b2114,Y,N,E,E,95,19.47 ,88,19.62 ,NE,338,12.22,338,13.29,NE
yehH,2196474,2200269,3796,+,b4499,Y,Y,NE,NE,1450,159.25 ,1312,156.64 ,NE,12805,248.09,11147,234.77,NE
yehI,2200279,2203911,3633,+,b2118,Y,N,NE,NE,378,43.38 ,291,36.31 ,NE,5068,102.59,2615,57.56,NE
yehK,2203972,2204289,318,+,b4541,Y,N,NE,NE,1,1.31 ,1,1.42 ,E,5,1.16,5,1.25,E
yehL,2204596,2205684,1089,+,b2119,Y,N,NE,NE,142,54.36 ,137,57.06 ,NE,285,19.25,249,18.29,NE
yehM,2205695,2207974,2280,+,b2120,Y,N,NE,NE,2876,525.88 ,2469,491.09 ,NE,12162,392.30,11646,408.64,NE
yehP,2207967,2209103,1137,+,b2121,Y,N,NE,NE,236,86.53 ,203,80.99 ,NE,804,52.01,761,53.56,NE
yehQ,2209100,2211100,2001,+,b2122,Y,Y,NE,NE,2039,424.82 ,1987,449.96 ,NE,8626,317.04,8501,339.60,NE
yehR,2211225,2211686,462,+,b2123,Y,N,NE,NE,42,37.90 ,42,41.10 ,NE,203,32.32,202,34.87,NE
yehS,2211726,2212196,471,-,b2124,Y,N,NE,NE,151,133.66 ,147,140.88 ,NE,511,79.79,510,86.23,NE
yehT,2212243,2212962,720,-,b2125,Y,N,NE,NE,49,28.37 ,45,28.25 ,NE,284,29.01,260,28.80,NE
yehU,2212959,2214644,1686,-,b2126,Y,N,NE,NE,137,33.88 ,127,34.16 ,NE,1232,53.74,1203,57.08,NE
mlrA,2214866,2215597,732,+,b2127,Y,N,NE,NE,478,272.24 ,468,290.34 ,NE,1493,150.00,1461,159.89,NE
yohO,2215657,2215764,108,+,b4542,Y,N,NE,NE,92,355.14 ,92,383.55 ,NE,122,83.08,119,87.52,NE
yehW,2215745,2216476,732,-,b2128,Y,N,NE,NE,534,304.13 ,476,295.30 ,NE,3518,353.46,2798,306.22,NE
yehX,2216481,2217407,927,-,b2129,Y,N,NE,NE,362,162.80 ,350,171.46 ,NE,1241,98.46,1205,104.14,NE
yehY,2217400,2218557,1158,-,b2130,Y,N,NE,NE,2663,958.72 ,2655,1038.34 ,NE,13317,845.77,13247,913.93,NE
osmF,2218564,2219481,918,-,b2131,Y,N,NE,NE,1000,454.14 ,991,488.35 ,NE,4406,352.98,4320,375.55,NE
bglX,2219692,2221989,2298,-,b2132,Y,N,NE,NE,751,136.25 ,746,147.12 ,NE,3096,99.08,3004,104.51,NE
dld,2222185,2223900,1716,+,b2133,Y,N,NE,NE,523,127.06 ,513,135.36 ,NE,1884,80.75,1876,87.32,NE
pbpG,2223938,2224870,933,-,b2134,Y,N,NE,NE,535,239.06 ,514,250.04 ,NE,1648,129.91,1548,132.84,NE
yohC,2225044,2225631,588,-,b2135,Y,N,NE,NE,935,662.93 ,878,677.85 ,NE,12441,1556.08,12298,1674.92,NE
yohD,2225801,2226379,579,+,b2136,Y,N,NE,NE,539,388.10 ,534,419.25 ,NE,5721,726.69,5686,787.53,NE
yohF,2226509,2227270,762,-,b2137,Y,N,NE,NE,418,228.69 ,313,185.88 ,NE,1325,127.88,1124,117.76,NE
mdtQ,2227323,2228758,1436,-,b2139,Y,Y,NE,NE,656,190.45 ,654,206.55 ,NE,1447,74.11,1354,75.44,NE
yohP,2228982,2229065,84,+,b4679,Y,N,NE,NE,1,4.96 ,1,5.49 ,NE,3,2.63,3,2.90,NE
dusC,2229438,2230385,948,-,b2140,Y,N,NE,NE,385,169.31 ,338,161.60 ,NE,4045,313.81,3164,266.85,NE
yohJ,2230624,2231022,399,+,b2141,Y,N,NE,NE,30,31.35 ,26,29.54 ,NE,574,105.80,540,108.21,NE
yohK,2231019,2231714,696,+,b2142,Y,N,NE,NE,538,322.26 ,537,349.80 ,NE,2657,280.76,2615,300.50,NE
cdd,2231844,2232728,885,+,b2143,Y,N,NE,NE,694,326.92 ,677,347.16 ,NE,1237,102.80,1025,92.72,NE
sanA,2232878,2233597,720,+,b2144,Y,N,NE,NE,531,307.46 ,513,322.09 ,NE,3577,365.38,3303,365.84,NE
yeiS,2233600,2233839,240,+,b2145,Y,N,NE,NE,7,12.16 ,4,7.58 ,NE,27,8.27,8,2.67,NE
preT,2234033,2235271,1239,+,b2146,Y,N,NE,NE,189,63.59 ,187,68.45 ,NE,1013,60.13,1012,65.34,NE
preA,2235265,2236500,1236,+,b2147,Y,N,NE,NE,641,216.21 ,641,235.24 ,NE,1202,71.52,1202,77.82,NE
mglC,2236743,2237753,1011,-,b2148,Y,N,NE,NE,433,178.55 ,431,193.00 ,NE,3719,270.54,3652,288.49,NE
mglA,2237769,2239289,1521,-,b2149,Y,N,NE,NE,463,126.91 ,458,136.29 ,NE,1648,79.69,1630,85.57,NE
